名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
クランヤナ,2020-11,東レアローズ,7,28,353,154,13,43.6,39.9,52,22,2,10,112,8,10,36,12.9,2,1,1,172,42.3,5.5,0.36,75.0
クランヤナ,2020-12,東レアローズ,7,7,94,40,2,42.6,40.4,10,5,0,3,25,3,4,5,13.0,0,0,0,46,50.0,5.71,0.43,
クランヤナ,2021-01,東レアローズ,7,17,215,84,13,39.1,33.0,34,20,2,9,60,6,7,14,12.9,1,0,1,99,58.8,4.94,0.53,50.0
クランヤナ,2021-02,東レアローズ,7,10,100,52,6,52.0,46.0,18,11,0,8,37,2,4,13,11.5,0,0,0,62,61.1,5.2,0.8,
グーパートポーンプン,2020-10,トヨタ車体クインシーズ,12,2,0,0,0,,,0,0,0,0,2,0,0,1,12.5,0,0,0,0,,0.0,0.0,
グーパートポーンプン,2020-11,トヨタ車体クインシーズ,12,14,7,6,0,85.7,85.7,1,1,0,0,16,0,0,4,6.2,0,0,0,6,100.0,0.43,0.0,
グーパートポーンプン,2020-12,トヨタ車体クインシーズ,12,4,1,1,0,100.0,100.0,0,0,0,1,16,0,2,1,-1.6,0,0,0,2,,0.25,0.25,
グーパートポーンプン,2021-01,トヨタ車体クインシーズ,12,12,7,4,0,57.1,57.1,0,0,0,2,59,1,2,10,5.1,1,0,0,7,,0.33,0.17,0.0
グーパートポーンプン,2021-02,トヨタ車体クインシーズ,12,4,2,0,0,0.0,0.0,0,0,0,0,5,0,1,1,0.0,1,0,0,0,,0.0,0.0,0.0
サンティアゴアライジャダフニ,2020-10,埼玉上尾メディックス,3,19,102,47,2,46.1,44.1,0,0,0,7,58,4,9,17,10.3,1,0,0,58,,2.47,0.37,0.0
サンティアゴアライジャダフニ,2020-11,埼玉上尾メディックス,3,21,91,38,6,41.8,35.2,0,0,0,6,55,3,7,13,8.2,6,1,2,47,,1.81,0.29,33.3
サンティアゴアライジャダフニ,2020-12,埼玉上尾メディックス,3,8,44,15,4,34.1,25.0,0,0,0,2,25,1,1,6,9.0,0,0,0,18,,1.88,0.25,
サンティアゴアライジャダフニ,2021-01,埼玉上尾メディックス,3,13,51,16,1,31.4,29.4,0,0,0,12,36,1,5,11,6.9,6,3,2,29,,1.23,0.92,66.7
サンティアゴアライジャダフニ,2021-02,埼玉上尾メディックス,3,9,47,24,0,51.1,51.1,0,0,0,5,22,0,4,8,4.5,1,0,0,29,,2.67,0.56,0.0
ジャラットハタイラット,2020-11,PFUブルーキャッツ,4,1,2,0,0,0.0,0.0,0,0,0,0,4,0,0,1,6.2,0,0,0,0,,0.0,0.0,
ジャラットハタイラット,2020-12,PFUブルーキャッツ,4,3,0,0,0,,,0,0,0,2,6,0,1,1,0.0,0,0,0,2,,0.0,0.67,
ジャラットハタイラット,2021-01,PFUブルーキャッツ,4,2,2,1,0,50.0,50.0,0,0,0,0,4,0,0,2,12.5,0,0,0,1,,0.5,0.0,
ジャラットハタイラット,2021-02,PFUブルーキャッツ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
ジョセフシャイナ,2020-10,埼玉上尾メディックス,15,13,109,37,4,33.9,30.3,35,14,1,0,29,1,2,7,7.8,0,0,0,38,40.0,2.85,0.0,
ジョセフシャイナ,2020-11,埼玉上尾メディックス,15,20,192,59,7,30.7,27.1,55,14,4,5,60,1,7,18,6.2,1,0,0,65,25.5,2.95,0.25,0.0
ジョセフシャイナ,2020-12,埼玉上尾メディックス,15,8,131,58,5,44.3,40.5,44,17,4,1,20,1,3,2,3.8,0,0,0,60,38.6,7.25,0.12,
ジョセフシャイナ,2021-01,埼玉上尾メディックス,15,13,133,36,7,27.1,21.8,43,9,5,6,49,1,4,18,9.2,0,0,0,43,20.9,2.77,0.46,
ジョセフシャイナ,2021-02,埼玉上尾メディックス,15,11,101,38,4,37.6,33.7,26,7,2,4,35,1,2,7,6.4,0,0,0,43,26.9,3.45,0.36,
ソロカイテインドレ,2020-10,トヨタ車体クインシーズ,13,11,131,40,11,30.5,22.1,41,11,4,3,32,0,4,5,0.8,0,0,0,43,26.8,3.64,0.27,
ソロカイテインドレ,2020-11,トヨタ車体クインシーズ,13,29,342,120,31,35.1,26.0,97,28,11,10,107,9,20,16,7.5,0,0,0,139,28.9,4.14,0.34,
ソロカイテインドレ,2020-12,トヨタ車体クインシーズ,13,6,73,25,8,34.2,23.3,19,3,2,3,19,0,3,2,-1.3,0,0,0,28,15.8,4.17,0.5,
ソロカイテインドレ,2021-01,トヨタ車体クインシーズ,13,17,230,71,22,30.9,21.3,40,14,5,7,49,1,13,15,3.1,0,0,0,79,35.0,4.18,0.41,
ソロカイテインドレ,2021-02,トヨタ車体クインシーズ,13,8,95,35,3,36.8,33.7,24,8,2,1,21,0,7,6,-1.2,1,0,0,36,33.3,4.38,0.12,0.0
タップハンナ,2020-10,日立リヴァーレ,5,16,92,42,4,45.7,41.3,0,0,0,13,51,2,7,16,8.3,2,1,1,57,,2.62,0.81,75.0
タップハンナ,2020-11,日立リヴァーレ,5,28,150,67,8,44.7,39.3,0,0,0,11,67,3,7,19,9.0,5,2,1,81,,2.39,0.39,50.0
タップハンナ,2020-12,日立リヴァーレ,5,7,39,16,4,41.0,30.8,0,0,0,9,16,0,2,3,1.6,0,0,0,25,,2.29,1.29,
タップハンナ,2021-01,日立リヴァーレ,5,15,93,48,3,51.6,48.4,0,0,0,17,36,1,0,9,9.0,0,0,0,66,,3.2,1.13,
タップハンナ,2021-02,日立リヴァーレ,5,13,52,23,2,44.2,40.4,0,0,0,7,31,2,2,10,12.9,0,0,0,32,,1.77,0.54,
ドルーズアンドレア,2020-10,JTマーヴェラス,10,13,155,75,8,48.4,43.2,39,16,6,1,28,3,5,11,16.1,0,0,0,79,41.0,5.77,0.08,
ドルーズアンドレア,2020-11,JTマーヴェラス,10,26,242,118,13,48.8,43.4,57,28,6,9,71,2,12,24,7.0,0,0,0,129,49.1,4.54,0.35,
ドルーズアンドレア,2020-12,JTマーヴェラス,10,6,83,44,2,53.0,50.6,26,14,0,0,19,1,1,6,11.8,0,0,0,45,53.8,7.33,0.0,
ドルーズアンドレア,2021-01,JTマーヴェラス,10,13,161,84,5,52.2,49.1,51,27,1,3,35,2,7,15,11.4,1,0,1,89,52.9,6.46,0.23,50.0
ドルーズアンドレア,2021-02,JTマーヴェラス,10,14,154,76,8,49.4,44.2,57,29,5,6,46,6,11,21,18.5,0,0,0,88,50.9,5.43,0.43,
ヌクジャンタットダオ,2021-01,JTマーヴェラス,7,4,14,6,0,42.9,42.9,0,0,0,3,21,0,1,6,6.0,0,0,0,9,,1.5,0.75,
ヌクジャンタットダオ,2021-02,JTマーヴェラス,7,14,51,24,4,47.1,39.2,0,0,0,13,48,1,3,15,8.3,0,0,0,38,,1.71,0.93,
ヒックマンジャスティス,2020-10,JTマーヴェラス,14,5,36,13,1,36.1,33.3,3,2,0,2,22,1,0,3,8.0,21,11,7,16,66.7,2.6,0.4,69.0
ヒックマンジャスティス,2020-11,JTマーヴェラス,14,3,1,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,3,1,1,0,,0.0,0.0,50.0
ヒックマンジャスティス,2020-12,JTマーヴェラス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
ヒックマンジャスティス,2021-01,JTマーヴェラス,14,8,39,18,2,46.2,41.0,5,3,0,1,24,2,1,7,14.6,55,26,14,21,60.0,2.25,0.12,60.0
ヒックマンジャスティス,2021-02,JTマーヴェラス,14,4,3,0,1,0.0,-33.3,0,0,0,0,6,0,1,2,4.2,4,3,1,0,,0.0,0.0,87.5
プラマーキャサリン,2020-10,デンソーエアリービーズ,22,9,91,40,6,44.0,37.4,18,6,3,5,20,0,4,5,1.2,16,4,3,45,33.3,4.44,0.56,34.4
プラマーキャサリン,2020-11,デンソーエアリービーズ,22,21,170,73,10,42.9,37.1,26,13,4,10,49,7,3,14,19.9,25,12,4,90,50.0,3.48,0.48,56.0
プラマーキャサリン,2020-12,デンソーエアリービーズ,22,6,78,35,6,44.9,37.2,11,6,1,4,16,1,2,4,9.4,11,6,2,40,54.5,5.83,0.67,63.6
プラマーキャサリン,2021-01,デンソーエアリービーズ,22,7,118,52,5,44.1,39.8,30,15,2,5,19,0,3,3,0.0,8,2,2,57,50.0,7.43,0.71,37.5
プラマーキャサリン,2021-02,デンソーエアリービーズ,22,19,221,102,16,46.2,38.9,38,20,8,5,61,3,10,27,11.9,42,11,11,110,52.6,5.37,0.26,39.3
マルティニュークアリョーナ,2020-11,ヴィクトリーナ姫路,20,10,89,34,4,38.2,33.7,13,8,0,1,19,0,3,5,2.6,0,0,0,35,61.5,3.4,0.1,
マルティニュークアリョーナ,2020-12,ヴィクトリーナ姫路,20,2,6,1,0,16.7,16.7,1,0,0,0,1,0,0,0,0.0,0,0,0,1,0.0,0.5,0.0,
マルティニュークアリョーナ,2021-01,ヴィクトリーナ姫路,20,9,89,24,6,27.0,20.2,18,3,1,4,17,0,1,3,2.9,0,0,0,28,16.7,2.67,0.44,
マルティニュークアリョーナ,2021-02,ヴィクトリーナ姫路,20,5,8,4,0,50.0,50.0,0,0,0,1,0,0,0,0,,0,0,0,5,,0.8,0.2,
リーシモーン,2020-10,KUROBEアクアフェアリーズ,10,14,167,44,15,26.3,17.4,42,10,8,6,36,2,6,14,11.1,4,0,1,52,23.8,3.14,0.43,12.5
リーシモーン,2020-11,KUROBEアクアフェアリーズ,10,24,328,124,20,37.8,31.7,86,36,7,7,69,5,4,26,15.2,3,0,1,136,41.9,5.17,0.29,16.7
リーシモーン,2020-12,KUROBEアクアフェアリーズ,10,8,110,40,7,36.4,30.0,24,8,3,6,21,2,2,5,13.1,0,0,0,48,33.3,5.0,0.75,
リーシモーン,2021-01,KUROBEアクアフェアリーズ,10,19,240,77,21,32.1,23.3,46,15,4,5,40,1,5,7,3.8,2,1,1,83,32.6,4.05,0.26,75.0
リーシモーン,2021-02,KUROBEアクアフェアリーズ,10,7,83,30,7,36.1,27.7,17,7,0,6,19,0,1,8,9.2,0,0,0,36,41.2,4.29,0.86,
上坂瑠子,2020-10,日立リヴァーレ,1,11,89,27,7,30.3,22.5,0,0,0,1,45,1,2,17,10.6,50,24,4,29,,2.45,0.09,52.0
上坂瑠子,2020-11,日立リヴァーレ,1,28,330,99,23,30.0,23.0,27,3,2,4,119,5,3,40,12.0,238,105,61,108,11.1,3.54,0.14,56.9
上坂瑠子,2020-12,日立リヴァーレ,1,7,91,23,10,25.3,14.3,3,1,1,2,27,3,1,6,15.7,42,17,16,28,33.3,3.29,0.29,59.5
上坂瑠子,2021-01,日立リヴァーレ,1,15,207,58,9,28.0,23.7,11,1,0,7,52,0,2,14,5.8,110,51,29,65,9.1,3.87,0.47,59.5
上坂瑠子,2021-02,日立リヴァーレ,1,12,121,42,5,34.7,30.6,5,0,0,2,41,3,1,11,13.4,86,45,15,47,0.0,3.5,0.17,61.0
上野香織,2020-10,NECレッドロケッツ,6,3,14,7,1,50.0,42.9,0,0,0,0,10,0,0,3,7.5,0,0,0,7,,2.33,0.0,
上野香織,2020-11,NECレッドロケッツ,6,13,38,17,1,44.7,42.1,0,0,0,1,27,0,5,4,-0.9,7,3,1,18,,1.31,0.08,50.0
上野香織,2020-12,NECレッドロケッツ,6,4,17,9,0,52.9,52.9,0,0,0,1,17,0,3,2,-1.5,3,3,0,10,,2.25,0.25,100.0
上野香織,2021-01,NECレッドロケッツ,6,12,44,23,1,52.3,50.0,0,0,0,1,36,1,4,6,4.2,3,3,0,25,,1.92,0.08,100.0
上野香織,2021-02,NECレッドロケッツ,6,9,32,11,0,34.4,34.4,0,0,0,2,22,4,3,7,22.7,2,0,2,17,,1.22,0.22,50.0
中元南,2020-10,デンソーエアリービーズ,1,8,77,23,3,29.9,26.0,11,0,0,0,32,1,0,12,12.5,54,33,6,24,0.0,2.88,0.0,66.7
中元南,2020-11,デンソーエアリービーズ,1,28,299,84,14,28.1,23.4,22,4,2,1,99,0,5,20,3.8,215,107,54,85,18.2,3.0,0.04,62.3
中元南,2020-12,デンソーエアリービーズ,1,7,45,14,5,31.1,20.0,4,0,1,1,24,0,1,11,10.4,72,33,14,15,0.0,2.0,0.14,55.6
中元南,2021-01,デンソーエアリービーズ,1,6,25,4,1,16.0,12.0,3,0,0,0,10,0,3,5,5.0,18,10,2,4,0.0,0.67,0.0,61.1
中元南,2021-02,デンソーエアリービーズ,1,10,40,11,2,27.5,22.5,5,0,1,0,20,1,1,7,12.5,69,34,20,12,0.0,1.1,0.0,63.8
中屋夏澄,2020-10,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中屋夏澄,2020-11,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中屋夏澄,2021-01,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中屋夏澄,2021-02,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中島未来,2020-10,東レアローズ,6,6,0,0,0,,,0,0,0,0,0,0,0,0,,13,7,5,0,,0.0,0.0,73.1
中島未来,2020-11,東レアローズ,6,8,0,0,0,,,0,0,0,0,0,0,0,0,,27,16,6,0,,0.0,0.0,70.4
中島未来,2020-12,東レアローズ,6,4,0,0,0,,,0,0,0,0,0,0,0,0,,12,3,4,0,,0.0,0.0,41.7
中島未来,2021-01,東レアローズ,6,7,0,0,0,,,0,0,0,0,0,0,0,0,,27,13,6,0,,0.0,0.0,59.3
中島未来,2021-02,東レアローズ,6,4,0,0,0,,,0,0,0,0,0,0,0,0,,11,4,5,0,,0.0,0.0,59.1
中川美柚,2020-10,久光スプリングス,14,14,85,31,2,36.5,34.1,1,0,0,4,57,1,3,13,6.1,43,16,8,36,0.0,2.21,0.29,46.5
中川美柚,2020-11,久光スプリングス,14,17,101,31,8,30.7,22.8,4,0,0,5,56,0,1,9,3.6,93,36,29,36,0.0,1.82,0.29,54.3
中川美柚,2020-12,久光スプリングス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中川美柚,2021-01,久光スプリングス,14,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
中川美柚,2021-02,久光スプリングス,14,3,3,0,1,0.0,-33.3,0,0,0,1,12,2,0,3,22.9,4,0,1,3,,0.0,0.33,12.5
中本柚朱,2021-01,岡山シーガルズ,33,13,65,23,3,35.4,30.8,1,1,0,1,31,0,0,12,9.7,57,23,13,24,100.0,1.77,0.08,51.8
中本柚朱,2021-02,岡山シーガルズ,33,5,33,7,4,21.2,9.1,0,0,0,2,7,0,0,1,3.6,29,5,9,9,,1.4,0.4,32.8
中本葉月,2020-10,埼玉上尾メディックス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中本葉月,2020-11,埼玉上尾メディックス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中村安里,2020-11,日立リヴァーレ,11,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
中村安里,2021-01,日立リヴァーレ,11,2,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
中田紫乃,2020-10,東レアローズ,5,9,16,6,0,37.5,37.5,0,0,0,3,2,0,0,2,25.0,8,0,4,9,,0.67,0.33,25.0
中田紫乃,2020-11,東レアローズ,5,19,28,8,1,28.6,25.0,0,0,0,0,6,1,1,2,20.8,27,9,4,9,,0.42,0.0,40.7
中田紫乃,2020-12,東レアローズ,5,6,6,1,0,16.7,16.7,0,0,0,0,10,0,0,3,7.5,10,3,2,1,,0.17,0.0,40.0
中田紫乃,2021-01,東レアローズ,5,8,8,1,0,12.5,12.5,0,0,0,0,7,0,0,0,0.0,0,0,0,1,,0.12,0.0,
中田紫乃,2021-02,東レアローズ,5,7,15,5,0,33.3,33.3,0,0,0,1,9,0,0,4,11.1,19,4,9,6,,0.71,0.14,44.7
丸山亜季,2020-10,岡山シーガルズ,20,7,0,0,0,,,0,0,0,0,0,0,0,0,,2,1,1,0,,0.0,0.0,75.0
丸山亜季,2020-11,岡山シーガルズ,20,21,0,0,0,,,0,0,0,0,0,0,0,0,,1,1,0,0,,0.0,0.0,100.0
丸山亜季,2020-12,岡山シーガルズ,20,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,1,0,0,0,,0.0,0.0,0.0
丸山亜季,2021-01,岡山シーガルズ,20,15,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
丸山亜季,2021-02,岡山シーガルズ,20,10,0,0,0,,,0,0,0,0,0,0,0,0,,3,1,1,0,,0.0,0.0,50.0
丸山紗季,2020-10,KUROBEアクアフェアリーズ,1,13,0,0,0,,,0,0,0,0,19,0,1,6,6.6,11,4,4,0,,0.0,0.0,54.5
丸山紗季,2020-11,KUROBEアクアフェアリーズ,1,16,0,0,0,,,0,0,0,0,21,0,3,5,2.4,3,1,2,0,,0.0,0.0,66.7
丸山紗季,2020-12,KUROBEアクアフェアリーズ,1,5,0,0,0,,,0,0,0,0,8,0,2,2,0.0,0,0,0,0,,0.0,0.0,
丸山紗季,2021-01,KUROBEアクアフェアリーズ,1,7,1,0,0,0.0,0.0,0,0,0,0,9,0,1,3,5.6,1,0,1,0,,0.0,0.0,50.0
丸山紗季,2021-02,KUROBEアクアフェアリーズ,1,6,6,1,0,16.7,16.7,0,0,0,0,7,0,1,1,0.0,30,6,13,1,,0.17,0.0,41.7
井上奈々朱,2020-10,東レアローズ,1,9,20,9,1,45.0,40.0,0,0,0,7,32,1,5,12,8.6,3,1,1,17,,1.0,0.78,50.0
井上奈々朱,2020-11,東レアローズ,1,14,31,15,2,48.4,41.9,0,0,0,8,29,3,1,10,18.1,1,1,0,26,,1.07,0.57,100.0
井上奈々朱,2020-12,東レアローズ,1,4,10,4,1,40.0,30.0,0,0,0,2,11,0,0,4,9.1,0,0,0,6,,1.0,0.5,
井上奈々朱,2021-01,東レアローズ,1,11,24,14,1,58.3,54.2,0,0,0,8,37,2,6,7,6.1,0,0,0,24,,1.27,0.73,
井上奈々朱,2021-02,東レアローズ,1,7,16,5,3,31.2,12.5,0,0,0,6,19,0,2,10,10.5,0,0,0,11,,0.71,0.86,
井上愛里沙,2020-10,久光スプリングス,5,13,165,60,3,36.4,34.5,3,1,0,6,44,0,4,15,6.2,73,27,16,66,33.3,4.62,0.46,47.9
井上愛里沙,2020-11,久光スプリングス,5,19,195,68,9,34.9,30.3,16,4,0,5,55,4,4,13,11.4,46,12,13,77,25.0,3.58,0.26,40.2
井上愛里沙,2020-12,久光スプリングス,5,7,88,29,4,33.0,28.4,13,2,2,4,24,1,3,4,5.2,15,8,3,34,15.4,4.14,0.57,63.3
井上愛里沙,2021-01,久光スプリングス,5,19,162,56,7,34.6,30.2,13,3,1,12,75,2,5,19,7.3,28,15,6,70,23.1,2.95,0.63,64.3
井上愛里沙,2021-02,久光スプリングス,5,9,61,18,2,29.5,26.2,5,1,0,2,21,0,2,4,2.4,16,7,3,20,20.0,2.0,0.22,53.1
井上琴絵,2020-10,デンソーエアリービーズ,11,9,0,0,0,,,0,0,0,0,0,0,0,0,,23,16,2,0,,0.0,0.0,73.9
井上琴絵,2020-11,デンソーエアリービーズ,11,33,0,0,0,,,0,0,0,0,0,0,0,0,,108,63,28,0,,0.0,0.0,71.3
井上琴絵,2020-12,デンソーエアリービーズ,11,8,0,0,0,,,0,0,0,0,0,0,0,0,,20,8,7,0,,0.0,0.0,57.5
井上琴絵,2021-01,デンソーエアリービーズ,11,7,0,0,0,,,0,0,0,0,0,0,0,0,,45,32,4,0,,0.0,0.0,75.6
井上琴絵,2021-02,デンソーエアリービーズ,11,19,0,0,0,,,0,0,0,0,0,0,0,0,,74,38,13,0,,0.0,0.0,60.1
井上美咲,2020-10,久光スプリングス,2,16,5,2,0,40.0,40.0,0,0,0,8,52,1,3,13,6.7,0,0,0,11,,0.12,0.5,
井上美咲,2020-11,久光スプリングス,2,24,18,8,0,44.4,44.4,0,0,0,4,98,6,3,27,12.2,2,1,0,18,,0.33,0.17,50.0
井上美咲,2020-12,久光スプリングス,2,7,4,3,0,75.0,75.0,0,0,0,2,22,1,4,5,5.7,1,0,0,6,,0.43,0.29,0.0
井上美咲,2021-01,久光スプリングス,2,7,2,2,0,100.0,100.0,0,0,0,0,26,1,0,7,10.6,0,0,0,3,,0.29,0.0,
井上美咲,2021-02,久光スプリングス,2,9,6,3,0,50.0,50.0,1,1,0,0,25,0,4,8,4.0,0,0,0,3,100.0,0.33,0.0,
仁井田桃子,2020-11,埼玉上尾メディックス,19,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
仁井田桃子,2020-12,埼玉上尾メディックス,19,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
仁井田桃子,2021-01,埼玉上尾メディックス,19,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
仁井田桃子,2021-02,埼玉上尾メディックス,19,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
今村優香,2020-10,久光スプリングス,12,1,9,2,1,22.2,11.1,0,0,0,0,4,0,0,1,6.2,4,1,1,2,,2.0,0.0,37.5
今村優香,2020-11,久光スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
今村優香,2020-12,久光スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
今村優香,2021-01,久光スプリングス,12,15,169,50,15,29.6,20.7,5,1,0,6,56,3,6,17,10.3,94,40,23,59,20.0,3.33,0.4,54.8
今村優香,2021-02,久光スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
付欣田,2021-01,岡山シーガルズ,24,2,7,2,1,28.6,14.3,0,0,0,2,4,0,1,0,-6.2,0,0,0,4,,1.0,1.0,
伊藤望,2020-10,東レアローズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
伊藤望,2020-11,東レアローズ,3,5,0,0,0,,,0,0,0,0,7,1,1,2,17.9,0,0,0,1,,0.0,0.0,
伊藤望,2020-12,東レアローズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐々木千紘,2020-10,ヴィクトリーナ姫路,14,6,21,11,1,52.4,47.6,0,0,0,1,16,0,5,4,-1.6,0,0,0,12,,1.83,0.17,
佐々木千紘,2020-11,ヴィクトリーナ姫路,14,23,40,13,4,32.5,22.5,0,0,0,6,60,3,8,15,7.9,6,3,1,22,,0.57,0.26,58.3
佐々木千紘,2020-12,ヴィクトリーナ姫路,14,6,8,2,1,25.0,12.5,0,0,0,0,16,0,4,4,0.0,0,0,0,2,,0.33,0.0,
佐々木千紘,2021-01,ヴィクトリーナ姫路,14,21,109,55,5,50.5,45.9,0,0,0,7,82,8,4,23,15.5,2,0,0,70,,2.62,0.33,0.0
佐々木千紘,2021-02,ヴィクトリーナ姫路,14,8,36,17,2,47.2,41.7,1,0,0,3,36,1,1,13,11.1,1,1,0,21,0.0,2.12,0.38,100.0
佐々木海空,2020-10,埼玉上尾メディックス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐藤優花,2020-10,埼玉上尾メディックス,10,3,13,1,0,7.7,7.7,0,0,0,0,2,0,0,1,12.5,2,2,0,1,,0.33,0.0,100.0
佐藤優花,2020-11,埼玉上尾メディックス,10,4,14,6,1,42.9,35.7,0,0,0,0,3,0,0,0,0.0,6,1,4,6,,1.5,0.0,50.0
