名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
吉田敬一郎,03,東京ヴェルディ,25,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉田雄一,03,ジェイテクトSTINGS,8,4,5,1,0,20.0,20.0,0,0,0,4,9,0,1,2,0,0,0,,0.2,1.0,2.8,
吉野淳,03,東京ヴェルディ,2,31,0,0,0,,,0,0,0,0,0,0,0,0,172,131,0,,0.0,0.0,,76.2
呉屋宏和,03,富士通カワサキレッドスピリッツ,16,7,14,6,2,42.9,28.6,2,1,1,1,13,1,4,4,7,4,0,50.0,0.9,0.1,7.7,57.1
和井田剛史,03,つくばユナイテッドSunGAIA,21,25,221,103,26,46.6,34.8,68,29,12,15,87,0,26,18,18,10,0,42.6,4.1,0.6,-2.3,55.6
堀江賢司,03,警視庁フォートファイターズ,15,9,32,11,4,34.4,21.9,4,0,2,4,18,0,0,2,0,0,0,0.0,1.2,0.4,2.8,
塚崎晋平,03,つくばユナイテッドSunGAIA,9,1,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0.0,1.0,,
増元真二,03,富士通カワサキレッドスピリッツ,10,2,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,,0.0,0.0,6.2,
大庭健裕,03,FC東京,8,26,60,35,1,58.3,56.7,1,0,0,24,49,0,3,11,0,0,0,0.0,1.3,0.9,4.1,
大木貴之,03,つくばユナイテッドSunGAIA,6,21,132,67,8,50.8,44.7,20,10,0,5,86,1,12,18,27,17,0,50.0,3.2,0.2,2.9,63.0
奥田晃,03,東京ヴェルディ,12,31,32,13,3,40.6,31.2,2,0,0,9,79,0,2,11,1,0,0,0.0,0.4,0.3,2.8,0.0
小山喬大,03,近畿クラブスフィーダ,14,7,24,13,1,54.2,50.0,0,0,0,1,14,0,1,4,1,1,0,,1.9,0.1,5.4,100.0
小川将司,03,つくばユナイテッドSunGAIA,4,20,33,19,2,57.6,51.5,0,0,0,1,32,2,7,12,1,1,0,,1.0,0.0,10.2,100.0
小川直紀,03,富士通カワサキレッドスピリッツ,18,1,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,,0.0,0.0,,100.0
小松高則,03,ジェイテクトSTINGS,7,27,91,44,5,48.4,42.9,0,0,0,19,89,0,2,20,0,0,0,,1.6,0.7,5.1,
小林清紀,03,FC東京,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
小林雅也,03,大同特殊鋼レッドスター,15,23,105,60,9,57.1,48.6,2,0,1,13,69,1,4,20,1,1,0,0.0,2.6,0.6,7.2,100.0
小橋口祐嗣,03,つくばユナイテッドSunGAIA,8,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小野孝宏,03,ジェイテクトSTINGS,3,4,8,2,2,25.0,0.0,4,0,1,3,5,0,3,0,1,1,0,0.0,0.5,0.8,-15.0,100.0
山下秀人,03,大同特殊鋼レッドスター,18,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
山下裕之,03,東京ヴェルディ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山内隆宏,03,FC東京,6,24,11,5,1,45.5,36.4,0,0,0,7,123,1,3,41,1,0,0,,0.2,0.3,8.5,0.0
山岡祐也,03,FC東京,10,2,0,0,0,,,0,0,0,1,7,0,0,2,1,1,0,,0.0,0.5,7.1,100.0
山本雄史,03,FC東京,18,26,127,63,2,49.6,48.0,0,0,0,23,75,1,2,21,4,2,0,,2.4,0.9,7.7,50.0
山田快,03,つくばユナイテッドSunGAIA,12,2,0,0,0,,,0,0,0,0,4,0,2,1,0,0,0,,0.0,0.0,-6.2,
岩下忠正,03,東京ヴェルディ,29,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,25.0,
岩井浩二,03,富士通カワサキレッドスピリッツ,14,23,179,83,18,46.4,36.3,27,7,6,8,102,3,12,26,106,64,0,25.9,3.6,0.3,6.4,60.4
岩田岳大,03,つくばユナイテッドSunGAIA,7,26,8,5,1,62.5,50.0,0,0,0,3,119,0,3,29,1,0,0,,0.2,0.1,5.5,0.0
岩知道呂夫,03,警視庁フォートファイターズ,10,26,10,4,0,40.0,40.0,1,1,0,7,85,6,14,19,0,0,0,100.0,0.2,0.3,8.5,
川波博次,03,大同特殊鋼レッドスター,2,22,127,56,5,44.1,40.2,5,2,0,5,62,2,9,10,122,87,0,40.0,2.5,0.2,3.6,71.3
川越裕康,03,近畿クラブスフィーダ,1,24,88,37,12,42.0,28.4,1,0,0,12,67,2,5,19,15,12,0,0.0,1.5,0.5,8.2,80.0
川野喜平,03,大同特殊鋼レッドスター,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
平井銀次,03,大同特殊鋼レッドスター,11,23,0,0,0,,,0,0,0,0,0,0,0,0,168,131,0,,0.0,0.0,,78.0
平林康裕,03,警視庁フォートファイターズ,5,20,70,27,3,38.6,34.3,0,0,0,5,74,1,3,18,3,3,0,,1.4,0.2,6.4,100.0
平澤徹,03,富士通カワサキレッドスピリッツ,9,23,61,42,1,68.9,67.2,0,0,0,17,60,1,7,11,0,0,0,,1.8,0.7,3.3,
幸田英知,03,警視庁フォートファイターズ,21,25,160,61,17,38.1,27.5,0,0,0,10,90,4,4,21,232,170,0,,2.4,0.4,9.2,73.3
後藤大輔,03,ジェイテクトSTINGS,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
徳武正哉,03,富士通カワサキレッドスピリッツ,2,22,73,29,2,39.7,37.0,0,0,0,15,44,1,4,4,2,1,0,,1.3,0.7,2.3,50.0
折井拓也,03,近畿クラブスフィーダ,5,6,0,0,0,,,0,0,0,0,0,0,0,0,46,29,0,,0.0,0.0,,63.0
木村有希,03,警視庁フォートファイターズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
本多尚也,03,近畿クラブスフィーダ,16,7,41,17,7,41.5,24.4,4,0,2,3,16,1,4,2,88,54,0,0.0,2.4,0.4,3.1,61.4
杉崎大和,03,FC東京,25,26,1,1,0,100.0,100.0,1,1,0,0,43,3,10,11,0,0,0,100.0,0.0,0.0,7.6,
松原広輔,03,ジェイテクトSTINGS,10,27,170,73,16,42.9,33.5,14,7,4,6,97,10,24,25,130,93,0,50.0,2.7,0.2,10.6,71.5
松本健作,03,富士通カワサキレッドスピリッツ,12,22,1,0,1,0.0,-100.0,0,0,0,0,44,4,3,12,0,0,0,,0.0,0.0,14.2,
松本幸博,03,警視庁フォートファイターズ,6,26,167,73,21,43.7,31.1,5,2,2,5,96,1,12,18,200,136,0,40.0,2.8,0.2,2.6,68.0
松田智人,03,ジェイテクトSTINGS,1,10,2,1,0,50.0,50.0,0,0,0,0,12,1,4,5,0,0,0,,0.1,0.0,10.4,
松野昭博,03,富士通カワサキレッドスピリッツ,19,8,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.1,,
根岸慎紘,03,東京ヴェルディ,5,2,0,0,0,,,0,0,0,0,2,0,2,0,0,0,0,,0.0,0.0,-25.0,
梶野喜宏,03,近畿クラブスフィーダ,17,21,10,4,2,40.0,20.0,0,0,0,3,71,2,3,12,0,0,0,,0.2,0.1,6.0,
梶野昭宏,03,近畿クラブスフィーダ,18,20,106,45,13,42.5,30.2,1,1,0,3,56,0,2,7,178,134,0,100.0,2.2,0.2,2.2,75.3
橋場正裕,03,FC東京,17,26,164,90,17,54.9,44.5,22,11,7,11,84,5,30,28,124,85,0,50.0,3.5,0.4,5.4,68.5
橋満裕也,03,大同特殊鋼レッドスター,8,23,56,22,2,39.3,35.7,0,0,0,4,75,0,4,9,1,1,0,,1.0,0.2,1.7,100.0
武本泰幸,03,近畿クラブスフィーダ,4,17,51,17,6,33.3,21.6,0,0,0,0,58,2,5,11,9,6,0,,1.0,0.0,6.0,66.7
毛利光生,03,近畿クラブスフィーダ,11,4,4,1,2,25.0,-25.0,1,0,1,0,16,0,5,3,0,0,0,0.0,0.2,0.0,-3.1,
淡田智行,03,大同特殊鋼レッドスター,9,23,4,3,0,75.0,75.0,0,0,0,1,87,1,5,14,3,0,0,,0.1,0.0,3.7,0.0
清水大輔,03,警視庁フォートファイターズ,2,16,41,14,1,34.1,31.7,0,0,0,7,38,2,4,9,6,3,0,,0.9,0.4,8.6,50.0
渡辺聖太,03,富士通カワサキレッドスピリッツ,13,13,0,0,0,,,0,0,0,0,21,1,0,8,0,0,0,,0.0,0.0,14.3,
渡邊友嗣,03,東京ヴェルディ,7,30,210,101,24,48.1,36.7,32,16,4,7,101,0,3,18,252,166,0,50.0,3.4,0.2,3.7,65.9
溝口信二,03,東京ヴェルディ,27,31,93,49,2,52.7,50.5,0,0,0,26,73,1,10,15,2,0,0,,1.6,0.8,3.1,0.0
濱口純一,03,東京ヴェルディ,1,15,17,9,3,52.9,35.3,0,0,0,0,44,0,1,11,81,55,0,,0.6,0.0,5.7,67.9
瀧澤利一,03,東京ヴェルディ,23,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
田中紳太,03,大同特殊鋼レッドスター,3,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
白取和也,03,つくばユナイテッドSunGAIA,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
矢作拓也,03,東京ヴェルディ,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
石川亮輔,03,東京ヴェルディ,15,26,0,0,0,,,0,0,0,0,41,1,0,8,7,6,0,,0.0,0.0,7.3,85.7
石川俊輔,03,警視庁フォートファイターズ,8,14,0,0,0,,,0,0,0,0,0,0,0,0,69,48,0,,0.0,0.0,,69.6
石川健,03,つくばユナイテッドSunGAIA,5,26,95,47,7,49.5,42.1,1,0,1,15,63,2,9,18,4,4,0,0.0,1.8,0.6,6.7,100.0
石田敬喜,03,ジェイテクトSTINGS,9,26,212,107,24,50.5,39.2,16,11,3,9,96,1,15,21,192,142,0,68.8,4.1,0.3,2.6,74.0
神山哲郎,03,富士通カワサキレッドスピリッツ,1,21,138,64,18,46.4,33.3,8,3,3,6,63,0,3,6,139,90,0,37.5,3.0,0.3,1.2,64.7
福田健太,03,警視庁フォートファイターズ,4,25,101,44,9,43.6,34.7,1,1,0,17,61,1,4,18,5,3,0,100.0,1.8,0.7,7.4,60.0
福田裕三,03,FC東京,22,11,0,0,0,,,0,0,0,0,15,0,4,5,0,0,0,,0.0,0.0,1.7,
福田誉,03,FC東京,3,24,0,0,0,,,0,0,0,0,7,0,0,2,137,107,0,,0.0,0.0,7.1,78.1
立田哲雄,03,警視庁フォートファイターズ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
竹田昭徳,03,東京ヴェルディ,28,1,6,3,0,50.0,50.0,0,0,0,0,2,0,0,0,0,0,0,,3.0,0.0,0.0,
筆脇ウィリアン,03,近畿クラブスフィーダ,15,7,49,14,7,28.6,14.3,5,2,1,0,23,3,2,12,4,3,0,40.0,2.0,0.0,23.9,75.0
紺野圭佑,03,東京ヴェルディ,24,27,190,79,25,41.6,28.4,76,36,13,9,78,1,9,8,0,0,0,47.4,2.9,0.3,1.0,
興梠亮,03,ジェイテクトSTINGS,12,27,0,0,0,,,0,0,0,0,0,0,0,0,169,135,0,,0.0,0.0,,79.9
若山智昭,03,ジェイテクトSTINGS,15,25,184,76,22,41.3,29.3,67,29,7,11,79,1,14,16,2,2,0,43.3,3.0,0.4,1.9,100.0
若山智昭,03,大同特殊鋼レッドスター,6,3,29,10,2,34.5,27.6,7,3,1,1,10,0,2,1,0,0,0,42.9,3.3,0.3,-2.5,
菊池孝一,03,つくばユナイテッドSunGAIA,1,26,100,59,4,59.0,55.0,0,0,0,23,97,5,31,34,2,2,0,,2.3,0.9,5.9,100.0
藤森圭,03,富士通カワサキレッドスピリッツ,17,23,0,0,0,,,0,0,0,0,0,0,0,0,129,99,0,,0.0,0.0,,76.7
西久保亮太,03,大同特殊鋼レッドスター,7,20,15,5,2,33.3,20.0,0,0,0,2,36,2,3,11,68,52,0,,0.2,0.1,11.1,76.5
西畑達也,03,近畿クラブスフィーダ,3,24,185,83,21,44.9,33.5,37,15,6,17,81,0,9,23,39,30,0,40.5,3.5,0.7,4.3,76.9
豊田昇平,03,ジェイテクトSTINGS,5,23,1,0,0,0.0,0.0,0,0,0,6,78,2,3,19,0,0,0,,0.0,0.3,7.7,
赤木貴雅,03,つくばユナイテッドSunGAIA,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
辰巳佳靖,03,大同特殊鋼レッドスター,6,21,180,83,14,46.1,38.3,50,24,2,12,63,0,6,8,2,0,0,48.0,4.0,0.6,0.8,0.0
辻裕作,03,FC東京,2,3,0,0,0,,,0,0,0,0,0,0,0,0,29,20,0,,0.0,0.0,,69.0
迫谷竜児,03,近畿クラブスフィーダ,21,18,0,0,0,,,0,0,0,0,0,0,0,0,116,83,0,,0.0,0.0,,71.6
野中信也,03,FC東京,16,19,1,0,0,0.0,0.0,1,0,0,0,33,0,2,9,29,26,0,0.0,0.0,0.0,5.3,89.7
野沢憲治,03,ジェイテクトSTINGS,4,10,5,1,0,20.0,20.0,0,0,0,0,35,0,0,15,0,0,0,,0.1,0.0,10.7,
金丸晃大,03,ジェイテクトSTINGS,2,24,84,47,7,56.0,47.6,0,0,0,24,96,5,6,27,4,4,0,,2.0,1.0,10.7,100.0
鈴木雅史,03,警視庁フォートファイターズ,20,7,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.1,,
鎌田智勝,03,FC東京,19,1,8,4,0,50.0,50.0,3,2,0,0,1,0,0,0,0,0,0,66.7,4.0,0.0,0.0,
阿部友幸,03,つくばユナイテッドSunGAIA,19,26,93,55,1,59.1,58.1,0,0,0,4,93,3,4,17,231,173,0,,2.1,0.2,6.7,74.9
阿部篤史,03,FC東京,12,26,232,109,26,47.0,35.8,80,43,13,13,96,3,18,17,0,0,0,53.8,4.2,0.5,2.9,
鞍掛勇樹,03,つくばユナイテッドSunGAIA,16,8,0,0,0,,,0,0,0,0,14,1,2,6,0,0,0,,0.0,0.0,14.3,
飯塚俊彦,03,東京ヴェルディ,14,31,216,91,14,42.1,35.6,51,18,6,5,121,4,10,29,60,38,0,35.3,2.9,0.2,7.2,63.3
高取諒平,03,FC東京,11,2,0,0,0,,,0,0,0,0,3,0,2,0,0,0,0,,0.0,0.0,-16.7,
高橋洋史,03,東京ヴェルディ,6,15,0,0,0,,,0,0,0,0,22,0,1,3,0,0,0,,0.0,0.0,2.3,
鬼頭浩幸,03,ジェイテクトSTINGS,18,6,2,1,0,50.0,50.0,0,0,0,0,3,0,0,1,0,0,0,,0.2,0.0,8.3,
齋藤義人,03,大同特殊鋼レッドスター,14,9,0,0,0,,,0,0,0,0,11,0,1,1,0,0,0,,0.0,0.0,0.0,
