試合日,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2013-12-07,12,サントリーサンバーズ,5,,柴小屋康行,2,■,■,nan,nan,nan,15,5,1,0.3333333333333333,0.26666666666666666,2.50,2,0,0,0.0,0,-,6,0,0,4,16.7,6,3,0,50.0
2013-12-07,12,サントリーサンバーズ,6,,岡本祥吾,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,15,1,3,7,18.3,0,0,0,-
2013-12-07,12,サントリーサンバーズ,8,,金子隆行,3,□,□,□,nan,nan,2,2,0,1.0,1.0,0.67,0,0,0,-,0,-,3,0,0,2,16.7,8,6,0,75.0
2013-12-07,12,サントリーサンバーズ,9,,阿部裕太,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,1,0.25,0,0,0,0,-,0,0,0,-
2013-12-07,12,サントリーサンバーズ,10,,冨士田裕大,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,サントリーサンバーズ,12,,塩田達也,4,■,■,■,■,nan,9,5,2,0.5555555555555556,0.3333333333333333,1.25,0,0,0,-,3,0.75,18,2,4,7,18.6,1,1,0,100.0
2013-12-07,12,サントリーサンバーズ,13,,スタンリークレイトン,4,■,■,■,■,nan,53,29,2,0.5471698113207547,0.5094339622641509,7.25,24,13,2,54.2,2,0.50,18,2,4,7,19.7,0,0,0,-
2013-12-07,12,サントリーサンバーズ,15,L,佐別當賢治,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,9,0,52.9
2013-12-07,12,サントリーサンバーズ,19,,栗山雅史,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,1,0,1,52.5,0,0,0,-
2013-12-07,12,サントリーサンバーズ,20,,米山達也,2,nan,nan,■,■,nan,20,10,1,0.5,0.45,5.00,0,0,0,-,0,-,6,0,1,2,8.3,8,3,0,37.5
2013-12-07,12,サントリーサンバーズ,21,,松崎廣光,4,■,■,■,■,nan,20,4,1,0.2,0.15,1.00,0,0,0,-,1,0.25,11,0,2,1,2.3,42,25,0,59.5
2013-12-07,12,豊田合成トレフェルサ,1,,井上崇昭,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2013-12-07,12,豊田合成トレフェルサ,2,,山近哲,4,■,■,■,■,nan,8,6,1,0.75,0.625,1.50,0,0,0,-,0,-,10,0,3,4,10.0,0,0,0,-
2013-12-07,12,豊田合成トレフェルサ,3,,重村健太,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,豊田合成トレフェルサ,4,,高松卓矢,4,■,■,■,■,nan,31,13,4,0.41935483870967744,0.2903225806451613,3.25,7,2,1,28.6,0,-,29,5,3,11,24.7,14,11,0,78.6
2013-12-07,12,豊田合成トレフェルサ,6,,近裕崇,4,■,■,■,■,nan,7,2,1,0.2857142857142857,0.14285714285714285,0.50,0,0,0,-,2,0.50,13,0,2,2,3.8,0,0,0,-
2013-12-07,12,豊田合成トレフェルサ,7,,白岩直也,4,■,■,■,■,nan,26,8,1,0.3076923076923077,0.2692307692307692,2.00,1,0,0,0.0,2,0.50,13,1,2,3,13.5,24,18,0,75.0
2013-12-07,12,豊田合成トレフェルサ,8,,レオナルドメロ,4,■,■,■,■,nan,44,25,3,0.5681818181818182,0.5,6.25,14,9,0,64.3,4,1.00,12,0,3,3,6.2,0,0,0,-
2013-12-07,12,豊田合成トレフェルサ,9,,加藤伊織,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,豊田合成トレフェルサ,10,L,古賀幸一郎,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,31,26,0,83.9
2013-12-07,12,豊田合成トレフェルサ,12,,内山正平,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,14,0,1,4,7.1,0,0,0,-
2013-12-07,12,豊田合成トレフェルサ,13,,岡本秀明,2,□,□,nan,nan,nan,1,1,0,1.0,1.0,0.50,0,0,0,-,0,-,2,0,1,0,0.0,1,0,0,0.0
2013-12-07,12,豊田合成トレフェルサ,17,L,佐々木恵三,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,豊田合成トレフェルサ,18,,杉山マルコス,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,1,,清水邦広,4,■,■,■,■,nan,36,19,3,0.5277777777777778,0.4444444444444444,4.75,14,10,0,71.4,1,0.25,16,1,4,2,9.4,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,2,,深津英臣,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,2,0.50,12,0,1,3,6.2,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,3,,山添信也,4,■,■,■,■,nan,6,4,0,0.6666666666666666,0.6666666666666666,1.00,0,0,0,-,1,0.25,15,0,3,3,5.0,1,0,0,0.0
2013-12-07,12,パナソニックパンサーズ,4,,伊東勇樹,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,5,,渡辺奏吾,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,6,,白澤健児,3,■,■,■,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,4,1.33,11,1,0,3,15.9,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,7,L,山本拓矢,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,8,,川村慎二,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,3,0,0,0.0
2013-12-07,12,パナソニックパンサーズ,10,,谷村孝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,13,,枩田優介,2,nan,nan,□,■,nan,3,2,1,0.6666666666666666,0.3333333333333333,1.00,0,0,0,-,2,1.00,7,0,0,2,7.1,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,15,,福澤達哉,4,■,■,■,■,nan,28,13,1,0.4642857142857143,0.42857142857142855,3.25,4,2,0,50.0,1,0.25,10,0,5,2,5.0,31,17,0,54.8
2013-12-07,12,パナソニックパンサーズ,16,,大竹貴久,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-
2013-12-07,12,パナソニックパンサーズ,17,L,永野健,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,18,0,75.0
2013-12-07,12,パナソニックパンサーズ,18,,ダンチアマラウ,4,■,■,■,■,nan,29,14,0,0.4827586206896552,0.4827586206896552,3.50,5,3,0,60.0,0,-,16,0,3,1,1.6,17,11,0,64.7
2013-12-07,12,JTサンダーズ,1,,安永拓弥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,JTサンダーズ,2,,町野仁志,4,■,■,■,■,nan,2,0,0,0.0,0.0,-,0,0,0,-,1,0.25,13,1,1,5,15.8,1,0,0,0.0
2013-12-07,12,JTサンダーズ,3,L,酒井大祐,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,34,23,0,67.6
2013-12-07,12,JTサンダーズ,4,,國近公太,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,1,1.00,5,0,0,1,5.0,6,2,0,33.3
2013-12-07,12,JTサンダーズ,6,,菅直哉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,JTサンダーズ,7,,八子大輔,4,■,■,■,■,nan,23,7,1,0.30434782608695654,0.2608695652173913,1.75,2,0,0,0.0,0,-,16,0,2,5,7.8,16,6,0,37.5
2013-12-07,12,JTサンダーズ,8,,越川優,4,■,■,■,■,nan,38,22,2,0.5789473684210527,0.5263157894736842,5.50,6,3,1,50.0,1,0.25,20,5,2,7,30.8,13,6,0,46.2
2013-12-07,12,JTサンダーズ,10,,小澤翔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,JTサンダーズ,11,,安井勇誠,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2013-12-07,12,JTサンダーズ,15,,オムルチェンイゴール,4,■,■,■,■,nan,38,17,6,0.4473684210526316,0.2894736842105263,4.25,18,10,5,55.6,1,0.25,12,0,4,5,10.4,0,0,0,-
2013-12-07,12,JTサンダーズ,16,,塚崎祐平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,JTサンダーズ,19,,井上俊輔,4,■,■,■,■,nan,5,4,0,0.8,0.8,1.00,0,0,0,-,3,0.75,14,0,1,5,8.9,1,0,0,0.0
2013-12-07,12,JTサンダーズ,20,,筧本翔昂,4,■,■,■,■,nan,7,4,0,0.5714285714285714,0.5714285714285714,1.00,0,0,0,-,1,0.25,11,0,3,3,6.8,1,0,0,0.0
2013-12-07,12,JTサンダーズ,21,L,大上正裕,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,2,,金丸晃大,4,■,■,■,■,nan,8,5,1,0.625,0.5,1.25,0,0,0,-,1,0.25,13,1,1,6,17.7,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,3,,阿部純也,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,4,,清野真一,2,nan,□,nan,□,nan,8,4,1,0.5,0.375,2.00,2,1,0,50.0,0,-,4,0,0,4,25.0,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,6,,高橋慎治,4,■,■,■,■,nan,1,1,0,1.0,1.0,0.25,0,0,0,-,0,-,16,0,0,6,9.4,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,7,,高橋和人,4,■,■,■,■,nan,19,8,2,0.42105263157894735,0.3157894736842105,2.00,2,1,0,50.0,2,0.50,19,3,5,6,21.6,31,17,0,54.8
2013-12-07,12,ジェイテクトSTINGS,10,,松原広輔,3,■,■,■,nan,nan,16,6,1,0.375,0.3125,2.00,2,1,1,50.0,0,-,5,0,2,2,10.0,8,4,0,50.0
2013-12-07,12,ジェイテクトSTINGS,11,,袴谷亮介,3,■,■,■,nan,nan,4,2,0,0.5,0.5,0.67,0,0,0,-,1,0.33,7,1,3,2,21.4,1,0,0,0.0
2013-12-07,12,ジェイテクトSTINGS,12,L,興梠亮,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,25,13,0,52.0
2013-12-07,12,ジェイテクトSTINGS,14,,浅野博亮,2,nan,nan,□,■,nan,13,5,2,0.38461538461538464,0.23076923076923078,2.50,5,0,1,0.0,0,-,7,0,1,1,3.6,11,7,0,63.6
2013-12-07,12,ジェイテクトSTINGS,15,,若山智昭,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,16,,島野俊一,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,17,,辰巳正敏,2,nan,nan,□,■,nan,3,3,0,1.0,1.0,1.50,0,0,0,-,1,0.50,5,0,1,1,5.0,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,18,L,大矢佳祐,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,12,ジェイテクトSTINGS,20,,サンチェスヤディエール,4,■,■,■,■,nan,43,17,4,0.3953488372093023,0.3023255813953488,4.25,13,7,0,53.8,0,-,11,0,0,4,9.1,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,1,,井上崇昭,3,□,nan,□,□,nan,2,0,1,0.0,-0.5,-,0,0,0,-,1,0.33,0,0,0,0,-,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,2,,山近哲,4,■,■,■,■,nan,13,6,0,0.46153846153846156,0.46153846153846156,1.50,0,0,0,-,1,0.25,14,0,1,2,3.6,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,3,,重村健太,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,4,,高松卓矢,4,■,■,■,■,nan,36,13,2,0.3611111111111111,0.3055555555555556,3.25,10,8,0,80.0,0,-,11,0,5,5,11.4,20,9,0,45.0
2013-12-08,12,豊田合成トレフェルサ,6,,近裕崇,4,■,■,■,■,nan,12,7,2,0.5833333333333334,0.4166666666666667,1.75,0,0,0,-,0,-,13,0,1,4,7.7,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,7,,白岩直也,2,■,■,nan,nan,nan,6,3,0,0.5,0.5,1.50,0,0,0,-,0,-,6,1,1,2,21.7,14,10,0,71.4
2013-12-08,12,豊田合成トレフェルサ,8,,レオナルドメロ,4,■,■,■,■,nan,37,20,2,0.5405405405405406,0.4864864864864865,5.00,23,12,2,52.2,0,-,14,1,3,3,12.5,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,9,,加藤伊織,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,10,L,古賀幸一郎,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,35,29,0,82.9
2013-12-08,12,豊田合成トレフェルサ,12,,内山正平,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,15,0,0,3,5.0,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,13,,岡本秀明,4,□,□,■,■,nan,13,8,0,0.6153846153846154,0.6153846153846154,2.00,1,0,0,0.0,0,-,9,1,1,2,16.7,12,10,0,83.3
2013-12-08,12,豊田合成トレフェルサ,17,L,佐々木恵三,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,豊田合成トレフェルサ,18,,杉山マルコス,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,堺ブレイザーズ,1,,松本慶彦,4,■,■,■,■,nan,10,7,0,0.7,0.7,1.75,0,0,0,-,3,0.75,10,0,0,2,5.0,1,1,0,100.0
2013-12-08,12,堺ブレイザーズ,2,L,井上裕介,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,8,0,80.0
2013-12-08,12,堺ブレイザーズ,3,,石島雄介,4,■,■,■,■,nan,26,8,3,0.3076923076923077,0.19230769230769232,2.00,7,3,2,42.9,2,0.50,12,0,1,1,2.1,22,13,0,59.1
2013-12-08,12,堺ブレイザーズ,4,,北島武,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,堺ブレイザーズ,5,,内藤和也,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-
2013-12-08,12,堺ブレイザーズ,6,,ペピチミラン,4,■,■,■,■,nan,41,20,2,0.4878048780487805,0.43902439024390244,5.00,18,7,2,38.9,2,0.50,23,4,5,6,22.2,0,0,0,-
2013-12-08,12,堺ブレイザーズ,8,,佐川翔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,堺ブレイザーズ,10,,千々木駿介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,堺ブレイザーズ,11,,伊藤康貴,4,■,■,■,■,nan,15,11,0,0.7333333333333333,0.7333333333333333,2.75,2,2,0,100.0,1,0.25,16,1,2,2,8.1,35,24,0,68.6
2013-12-08,12,堺ブレイザーズ,12,,横田一義,4,■,■,■,■,nan,14,6,1,0.42857142857142855,0.35714285714285715,1.50,0,0,0,-,6,1.50,12,0,2,4,8.3,0,0,0,-
2013-12-08,12,堺ブレイザーズ,13,,松岡祐太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,堺ブレイザーズ,14,L,坂梨朋彦,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,堺ブレイザーズ,15,,木場田和希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-08,12,堺ブレイザーズ,19,,今村駿,4,■,■,■,■,nan,2,1,0,0.5,0.5,0.25,0,0,0,-,0,-,16,1,1,2,8.1,0,0,0,-
2013-12-08,12,ジェイテクトSTINGS,2,,金丸晃大,5,■,■,■,■,■,15,8,2,0.5333333333333333,0.4,1.60,0,0,0,-,1,0.20,19,0,1,11,14.5,1,0,0,0.0
2013-12-08,12,ジェイテクトSTINGS,4,,清野真一,5,□,■,■,■,■,56,30,2,0.5357142857142857,0.5,6.00,20,12,0,60.0,0,-,16,3,1,5,22.8,0,0,0,-
2013-12-08,12,ジェイテクトSTINGS,6,,高橋慎治,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,1,0.20,15,1,0,7,18.3,0,0,0,-
2013-12-08,12,ジェイテクトSTINGS,7,,高橋和人,5,■,■,■,■,■,21,5,2,0.23809523809523808,0.14285714285714285,1.00,0,0,0,-,2,0.40,19,2,2,8,20.0,35,20,0,57.1
2013-12-08,12,ジェイテクトSTINGS,8,,松崎良輔,1,nan,■,nan,nan,nan,3,2,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,0,-,2,0,1,1,12.5,0,0,0,-
2013-12-08,12,ジェイテクトSTINGS,10,,松原広輔,4,■,nan,■,■,■,25,12,5,0.48,0.28,3.00,5,1,2,20.0,2,0.50,13,2,2,6,23.8,19,11,0,57.9
