名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
中田紫乃,2019-03,東レアローズ,9,28,107,37,6,34.6,29.0,4,1,0,8,110,3,3,35,212,88,48,48,25.0,1.32,0.29,10.0,52.8
丸山裕子,2019-03,埼玉上尾メディックス,20,4,9,4,1,44.4,33.3,0,0,0,1,4,0,1,0,0,0,0,5,,1.0,0.25,-6.2,
井上奈々朱,2019-03,東レアローズ,1,27,109,57,6,52.3,46.8,1,0,0,16,68,3,4,18,3,2,0,76,0.0,2.11,0.59,9.6,66.7
井上愛里沙,2019-03,久光製薬スプリングス,22,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井上美咲,2019-03,埼玉上尾メディックス,13,27,12,6,0,50.0,50.0,0,0,0,4,120,6,9,40,1,0,0,16,,0.22,0.15,11.5,0.0
今村優香,2019-03,久光製薬スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤望,2019-03,東レアローズ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤澪,2019-03,トヨタ車体クインシーズ,2,27,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
佐藤美弥,2019-03,日立リヴァーレ,8,17,9,5,0,55.6,55.6,0,0,0,2,48,0,6,16,2,0,0,7,,0.29,0.12,5.2,0.0
佐野伶奈,2019-03,デンソーエアリービーズ,23,1,3,1,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
入澤まい,2019-03,日立リヴァーレ,20,28,127,45,9,35.4,28.3,0,0,0,17,71,8,17,25,0,0,0,70,,1.61,0.61,14.1,
兵頭由希,2019-03,デンソーエアリービーズ,24,15,16,3,1,18.8,12.5,0,0,0,0,22,1,1,4,7,3,3,4,,0.2,0.0,8.0,64.3
内瀬戸真実,2019-03,トヨタ車体クインシーズ,5,27,234,68,13,29.1,23.5,7,1,1,10,99,1,7,16,169,88,41,79,14.3,2.52,0.37,3.3,64.2
加藤光,2019-03,久光製薬スプリングス,25,23,1,0,0,0.0,0.0,1,0,0,0,33,2,1,11,0,0,0,2,0.0,0.0,0.0,13.6,
古藤千鶴,2019-03,久光製薬スプリングス,2,26,4,1,1,25.0,0.0,0,0,0,6,128,1,3,44,0,0,0,8,,0.04,0.23,8.8,
古谷ちなみ,2019-03,NECレッドロケッツ,18,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
古賀紗理那,2019-03,NECレッドロケッツ,2,27,218,72,3,33.0,31.7,21,4,0,3,116,8,10,51,160,55,42,83,19.0,2.67,0.11,15.7,47.5
吉野優理,2019-03,埼玉上尾メディックス,29,27,188,60,10,31.9,26.6,11,0,1,9,100,6,3,22,169,71,50,75,0.0,2.22,0.33,10.8,56.8
土井さくら,2019-03,日立リヴァーレ,15,15,0,0,0,,,0,0,0,0,18,0,0,8,0,0,0,0,,0.0,0.0,11.1,
堀井有蘭,2019-03,日立リヴァーレ,3,13,30,9,1,30.0,26.7,0,0,0,1,36,1,2,4,27,11,7,11,,0.69,0.08,4.2,53.7
堀川真理,2019-03,東レアローズ,2,7,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
堀江美志,2019-03,埼玉上尾メディックス,26,26,191,61,13,31.9,25.1,18,6,2,2,67,2,4,14,197,74,44,65,33.3,2.35,0.08,6.7,48.7
塚田しおり,2019-03,NECレッドロケッツ,3,7,0,0,0,,,0,0,0,1,20,0,0,6,0,0,0,1,,0.0,0.14,7.5,
大室璃紗,2019-03,埼玉上尾メディックス,23,19,0,0,0,,,0,0,0,0,1,0,0,0,43,21,8,0,,0.0,0.0,0.0,58.1
大竹里歩,2019-03,デンソーエアリービーズ,5,5,8,0,1,0.0,-12.5,0,0,0,1,6,0,0,1,1,1,0,1,,0.0,0.2,4.2,100.0
大野果奈,2019-03,NECレッドロケッツ,5,19,55,20,0,36.4,36.4,0,0,0,4,46,0,1,11,2,1,0,24,,1.05,0.21,5.4,50.0
大野果歩,2019-03,東レアローズ,3,20,76,35,0,46.1,46.1,1,0,0,8,34,2,0,7,0,0,0,45,0.0,1.75,0.4,11.0,
安井由香子,2019-03,トヨタ車体クインシーズ,19,2,0,0,0,,,0,0,0,0,2,0,1,1,1,0,0,0,,0.0,0.0,0.0,0.0
小口樹葉,2019-03,デンソーエアリービーズ,9,17,0,0,0,,,0,0,0,0,0,0,0,0,100,47,26,0,,0.0,0.0,,60.0
小島満菜美,2019-03,NECレッドロケッツ,16,23,0,0,0,,,0,0,0,0,0,0,0,0,36,15,8,0,,0.0,0.0,,52.8
小川愛里奈,2019-03,東レアローズ,12,14,57,17,0,29.8,29.8,0,0,0,3,38,4,3,14,2,0,0,24,,1.21,0.21,17.8,0.0
小川杏奈,2019-03,JTマーヴェラス,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小幡真子,2019-03,JTマーヴェラス,15,26,0,0,0,,,0,0,0,0,0,0,0,0,85,48,17,0,,0.0,0.0,,66.5
小池杏菜,2019-03,日立リヴァーレ,10,28,0,0,0,,,0,0,0,0,0,0,0,0,50,12,20,0,,0.0,0.0,,44.0
小田桃香,2019-03,トヨタ車体クインシーズ,10,6,40,12,1,30.0,27.5,1,0,0,0,16,0,1,3,68,25,25,12,0.0,2.0,0.0,3.1,55.1
小野寺友香,2019-03,日立リヴァーレ,2,18,4,1,0,25.0,25.0,0,0,0,2,36,0,3,15,0,0,0,3,,0.06,0.11,8.3,
山上有紀,2019-03,トヨタ車体クインシーズ,18,22,4,0,0,0.0,0.0,0,0,0,3,78,4,5,17,1,0,0,7,,0.0,0.14,9.0,0.0
山内美咲,2019-03,NECレッドロケッツ,12,8,61,21,2,34.4,31.1,2,0,0,4,28,1,0,11,83,44,9,26,0.0,2.62,0.5,13.4,58.4
山口かなめ,2019-03,NECレッドロケッツ,7,23,8,3,2,37.5,12.5,1,0,0,5,74,3,4,20,1,0,0,11,0.0,0.13,0.22,9.5,0.0
山口珠李,2019-03,埼玉上尾メディックス,24,13,39,13,4,33.3,23.1,3,0,1,3,13,0,1,2,13,5,1,16,0.0,1.0,0.23,1.9,42.3
山岸あかね,2019-03,埼玉上尾メディックス,7,22,0,0,0,,,0,0,0,0,0,0,0,0,95,49,20,0,,0.0,0.0,,62.1
山崎のの花,2019-03,埼玉上尾メディックス,25,8,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
山本美沙,2019-03,JTマーヴェラス,16,7,0,0,0,,,0,0,0,0,10,1,0,4,0,0,0,1,,0.0,0.0,20.0,
山田美花,2019-03,デンソーエアリービーズ,11,2,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
岩坂名奈,2019-03,久光製薬スプリングス,4,26,91,31,4,34.1,29.7,0,0,0,31,71,1,2,18,0,0,0,63,,1.19,1.19,7.0,
岩崎紗也加,2019-03,NECレッドロケッツ,10,28,0,0,0,,,0,0,0,0,0,0,0,0,113,57,25,0,,0.0,0.0,,61.5
岩澤実育,2019-03,埼玉上尾メディックス,28,8,0,0,0,,,0,0,0,0,1,0,0,1,11,3,2,0,,0.0,0.0,25.0,36.4
峯村沙紀,2019-03,NECレッドロケッツ,17,5,9,1,0,11.1,11.1,0,0,0,0,6,0,0,1,4,1,1,1,,0.2,0.0,4.2,37.5
島村春世,2019-03,NECレッドロケッツ,1,19,99,41,2,41.4,39.4,1,0,0,8,43,2,0,9,1,0,0,51,0.0,2.16,0.42,9.9,0.0
工藤嶺,2019-03,デンソーエアリービーズ,21,13,129,41,7,31.8,26.4,11,4,0,1,44,4,1,12,62,27,14,46,36.4,3.15,0.08,15.3,54.8
巻口明日香,2019-03,日立リヴァーレ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
座安琴希,2019-03,久光製薬スプリングス,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
廣瀬七海,2019-03,NECレッドロケッツ,9,24,228,70,17,30.7,23.2,52,14,6,11,73,5,21,19,3,2,0,86,26.9,2.92,0.46,6.2,66.7
戸江真奈,2019-03,久光製薬スプリングス,18,26,0,0,0,,,0,0,0,0,0,0,0,0,141,58,43,0,,0.0,0.0,,56.4
新鍋理沙,2019-03,久光製薬スプリングス,3,26,155,65,9,41.9,36.1,0,0,0,14,103,10,9,26,68,35,23,89,,2.5,0.54,13.8,68.4
日高萌,2019-03,東レアローズ,4,5,0,0,0,,,0,0,0,0,10,0,0,3,0,0,0,0,,0.0,0.0,7.5,
早坂梢依,2019-03,デンソーエアリービーズ,7,7,1,1,0,100.0,100.0,0,0,0,0,4,0,1,0,0,0,0,1,,0.14,0.0,-6.2,
朝日優衣,2019-03,デンソーエアリービーズ,3,24,195,64,7,32.8,29.2,5,0,1,3,58,1,6,17,125,57,30,68,0.0,2.67,0.12,6.5,57.6
杉原若葉,2019-03,東レアローズ,6,10,6,5,0,83.3,83.3,0,0,0,0,19,1,0,6,11,1,4,6,,0.5,0.0,13.2,27.3
杉郁香,2019-03,トヨタ車体クインシーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村永奈央,2019-03,トヨタ車体クインシーズ,6,21,133,40,9,30.1,23.3,4,1,0,5,75,5,2,21,194,89,47,50,25.0,1.9,0.24,13.0,58.0
松本亜弥華,2019-03,埼玉上尾メディックス,8,3,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
林琴奈,2019-03,JTマーヴェラス,2,24,150,57,16,38.0,27.3,8,2,1,4,65,1,6,14,172,88,45,62,25.0,2.38,0.17,4.6,64.2
柳田光綺,2019-03,NECレッドロケッツ,4,24,204,69,9,33.8,29.4,27,5,0,7,69,2,14,20,120,49,21,78,18.5,2.88,0.29,5.1,49.6
柴田真果,2019-03,JTマーヴェラス,5,7,0,0,0,,,0,0,0,0,7,0,0,0,0,0,0,0,,0.0,0.0,0.0,
栄絵里香,2019-03,久光製薬スプリングス,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栗原恵,2019-03,JTマーヴェラス,10,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
森谷史佳,2019-03,久光製薬スプリングス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
椎名真子,2019-03,埼玉上尾メディックス,27,1,3,1,1,33.3,0.0,0,0,0,0,2,0,1,0,5,3,1,1,,1.0,0.0,-12.5,70.0
榊原美沙都,2019-03,トヨタ車体クインシーズ,8,27,0,0,0,,,0,0,0,0,0,0,0,0,85,51,15,0,,0.0,0.0,,68.8
橋本梨紗,2019-03,JTマーヴェラス,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
橘井友香,2019-03,JTマーヴェラス,4,25,50,19,2,38.0,34.0,3,1,0,0,50,4,2,17,2,1,1,23,33.3,0.76,0.0,15.5,75.0
比金桃子,2019-03,トヨタ車体クインシーズ,4,11,4,1,0,25.0,25.0,0,0,0,0,45,3,2,14,1,0,0,4,,0.09,0.0,13.3,0.0
水杉玲奈,2019-03,東レアローズ,15,28,0,0,0,,,0,0,0,0,8,0,0,4,43,20,13,0,,0.0,0.0,12.5,61.6
深萱知代,2019-03,JTマーヴェラス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
渡邊久惠,2019-03,日立リヴァーレ,9,26,348,110,19,31.6,26.1,48,9,5,2,88,3,4,35,1,1,0,115,18.8,4.23,0.08,12.2,100.0
渡邊彩,2019-03,トヨタ車体クインシーズ,12,27,130,58,2,44.6,43.1,1,0,0,14,82,1,9,24,3,1,0,73,0.0,2.15,0.52,5.8,33.3
田中瑞稀,2019-03,JTマーヴェラス,6,26,300,92,12,30.7,26.7,35,9,4,4,91,5,4,29,170,75,37,101,25.7,3.54,0.15,12.4,55.0
田中美咲,2019-03,JTマーヴェラス,7,26,24,12,4,50.0,33.3,0,0,0,2,97,1,4,32,2,0,2,15,,0.46,0.08,8.2,50.0
田原愛里,2019-03,デンソーエアリービーズ,8,28,11,4,0,36.4,36.4,0,0,0,3,67,0,6,22,0,0,0,7,,0.14,0.11,6.0,
白井美沙紀,2019-03,東レアローズ,8,25,0,0,0,,,0,0,0,0,44,1,4,9,0,0,0,1,,0.0,0.0,5.1,
目黒優佳,2019-03,JTマーヴェラス,11,23,15,1,1,6.7,0.0,1,0,1,1,33,2,1,8,47,29,13,4,0.0,0.04,0.04,11.4,75.5
石井優希,2019-03,久光製薬スプリングス,6,26,372,134,17,36.0,31.5,32,13,3,2,128,6,4,44,170,82,36,142,40.6,5.15,0.08,12.5,58.8
石川真佑,2019-03,東レアローズ,17,4,4,1,0,25.0,25.0,0,0,0,0,6,0,1,0,19,8,4,1,,0.25,0.0,-4.2,52.6
石川真奈,2019-03,東レアローズ,10,1,0,0,0,,,0,0,0,1,2,0,0,0,5,2,0,1,,0.0,1.0,0.0,40.0
石橋桃子,2019-03,デンソーエアリービーズ,12,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
石田瑞穂,2019-03,デンソーエアリービーズ,22,22,131,41,7,31.3,26.0,18,4,0,7,90,7,4,21,4,3,1,55,22.2,1.86,0.32,12.5,87.5
積山春花,2019-03,デンソーエアリービーズ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
窪田美侑,2019-03,日立リヴァーレ,19,27,143,55,8,38.5,32.9,3,0,1,11,92,6,6,20,183,82,51,72,0.0,2.04,0.41,10.3,58.7
筒井さやか,2019-03,久光製薬スプリングス,20,23,0,0,0,,,0,0,0,0,0,0,0,0,37,18,5,0,,0.0,0.0,,55.4
篠原沙耶香,2019-03,NECレッドロケッツ,11,23,0,0,0,,,0,0,0,0,26,0,1,7,0,0,0,0,,0.0,0.0,5.8,
芥川愛加,2019-03,JTマーヴェラス,1,26,108,55,7,50.9,44.4,0,0,0,17,82,7,7,26,1,0,0,79,,2.12,0.65,14.3,0.0
芳賀舞波,2019-03,日立リヴァーレ,6,20,48,16,1,33.3,31.2,0,0,0,5,45,1,5,8,1,0,0,22,,0.8,0.25,3.9,0.0
若松歩実,2019-03,埼玉上尾メディックス,22,3,19,7,2,36.8,26.3,0,0,0,1,2,0,1,0,6,3,1,8,,2.33,0.33,-12.5,58.3
荒木夕貴,2019-03,埼玉上尾メディックス,19,5,10,1,0,10.0,10.0,0,0,0,0,3,1,1,1,12,7,0,2,,0.2,0.0,33.3,58.3
荒木絵里香,2019-03,トヨタ車体クインシーズ,11,27,114,46,3,40.4,37.7,1,0,0,22,112,4,7,34,4,1,1,72,0.0,1.7,0.81,9.6,37.5
荒谷栞,2019-03,NECレッドロケッツ,14,12,70,20,2,28.6,25.7,10,2,0,1,30,2,2,11,42,7,12,23,20.0,1.67,0.08,14.2,31.0
藪田美穂子,2019-03,トヨタ車体クインシーズ,17,6,11,1,2,9.1,-9.1,0,0,0,0,11,0,0,2,26,10,6,1,,0.17,0.0,4.5,50.0
遠井萌仁,2019-03,日立リヴァーレ,12,6,19,5,0,26.3,26.3,0,0,0,0,11,0,0,2,27,15,4,5,,0.83,0.0,4.5,63.0
野本梨佳,2019-03,久光製薬スプリングス,8,26,312,117,9,37.5,34.6,16,8,2,6,81,1,8,16,71,19,23,124,50.0,4.5,0.23,3.7,43.0
野村明日香,2019-03,デンソーエアリービーズ,17,26,72,20,3,27.8,23.6,1,0,0,5,109,12,6,38,4,0,1,37,0.0,0.77,0.19,18.3,12.5
金本望,2019-03,トヨタ車体クインシーズ,14,1,1,0,0,0.0,0.0,0,0,0,0,2,0,1,0,2,1,0,0,,0.0,0.0,-12.5,50.0
鈴木裕子,2019-03,デンソーエアリービーズ,6,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
鍋谷友理枝,2019-03,デンソーエアリービーズ,15,28,283,96,12,33.9,29.7,20,4,4,7,106,5,8,32,143,74,36,108,20.0,3.43,0.25,10.4,64.3
長内美和子,2019-03,日立リヴァーレ,13,22,232,79,17,34.1,26.7,5,2,0,3,80,3,10,21,164,62,30,85,40.0,3.59,0.14,7.2,47.0
間橋香織,2019-03,日立リヴァーレ,1,8,18,5,1,27.8,22.2,0,0,0,0,2,0,0,1,1,1,0,5,,0.62,0.0,12.5,100.0
関菜々巳,2019-03,東レアローズ,14,28,17,9,0,52.9,52.9,0,0,0,7,117,8,1,36,0,0,0,24,,0.32,0.25,14.3,
青柳京古,2019-03,埼玉上尾メディックス,11,21,52,20,0,38.5,38.5,0,0,0,5,59,1,3,12,3,1,1,26,,0.95,0.24,5.5,50.0
高橋沙織,2019-03,トヨタ車体クインシーズ,3,3,1,1,0,100.0,100.0,0,0,0,0,1,0,0,0,6,4,2,1,,0.33,0.0,0.0,83.3
鴫原ひなた,2019-03,トヨタ車体クインシーズ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
黒後愛,2019-03,東レアローズ,13,28,305,99,18,32.5,26.6,24,2,4,11,90,3,8,19,213,104,46,113,8.3,3.54,0.39,6.4,59.6
齋藤加奈子,2019-03,日立リヴァーレ,7,24,0,0,0,,,0,0,0,0,0,0,0,0,72,32,22,0,,0.0,0.0,,59.7
